id,name,parent_location,year,type,filings,filing_rate
110010001001,"District of Columbia, District of Columbia, 100, 1",District of Columbia,2018,observed,14.0,4.39
110010001002,"District of Columbia, District of Columbia, 100, 2",District of Columbia,2018,observed,17.0,4.67
110010001004,"District of Columbia, District of Columbia, 100, 4",District of Columbia,2018,observed,1.0,0.52
110010002022,"District of Columbia, District of Columbia, 202, 2",District of Columbia,2018,observed,1.0,1.43
110010002023,"District of Columbia, District of Columbia, 202, 3",District of Columbia,2018,observed,4.0,2.29
110010002024,"District of Columbia, District of Columbia, 202, 4",District of Columbia,2018,observed,4.0,2.65
110010003002,"District of Columbia, District of Columbia, 300, 2",District of Columbia,2018,observed,15.0,2.67
110010003004,"District of Columbia, District of Columbia, 300, 4",District of Columbia,2018,observed,1.0,0.56
110010004001,"District of Columbia, District of Columbia, 400, 1",District of Columbia,2018,observed,2.0,8.33
110010004002,"District of Columbia, District of Columbia, 400, 2",District of Columbia,2018,observed,2.0,0.92
110010005011,"District of Columbia, District of Columbia, 501, 1",District of Columbia,2018,observed,17.0,4.02
110010005012,"District of Columbia, District of Columbia, 501, 2",District of Columbia,2018,observed,21.0,1.96
110010005021,"District of Columbia, District of Columbia, 502, 1",District of Columbia,2018,observed,6.0,1.62
110010005022,"District of Columbia, District of Columbia, 502, 2",District of Columbia,2018,observed,6.0,1.65
110010006001,"District of Columbia, District of Columbia, 600, 1",District of Columbia,2018,observed,30.0,9.46
110010006002,"District of Columbia, District of Columbia, 600, 2",District of Columbia,2018,observed,6.0,3.31
110010006003,"District of Columbia, District of Columbia, 600, 3",District of Columbia,2018,observed,12.0,6.9
110010006004,"District of Columbia, District of Columbia, 600, 4",District of Columbia,2018,observed,4.0,11.11
110010007011,"District of Columbia, District of Columbia, 701, 1",District of Columbia,2018,observed,51.0,9.75
110010007012,"District of Columbia, District of Columbia, 701, 2",District of Columbia,2018,observed,44.0,9.28
110010007014,"District of Columbia, District of Columbia, 701, 4",District of Columbia,2018,observed,21.0,8.11
110010007021,"District of Columbia, District of Columbia, 702, 1",District of Columbia,2018,observed,30.0,5.46
110010007022,"District of Columbia, District of Columbia, 702, 2",District of Columbia,2018,observed,17.0,2.08
110010007023,"District of Columbia, District of Columbia, 702, 3",District of Columbia,2018,observed,19.0,6.19
110010008011,"District of Columbia, District of Columbia, 801, 1",District of Columbia,2018,observed,60.0,37.27
110010008012,"District of Columbia, District of Columbia, 801, 2",District of Columbia,2018,observed,2.0,15.38
110010008014,"District of Columbia, District of Columbia, 801, 4",District of Columbia,2018,observed,5.0,6.25
110010008021,"District of Columbia, District of Columbia, 802, 1",District of Columbia,2018,observed,6.0,1.47
110010008022,"District of Columbia, District of Columbia, 802, 2",District of Columbia,2018,observed,1.0,0.61
110010009012,"District of Columbia, District of Columbia, 901, 2",District of Columbia,2018,observed,1.0,0.44
110010009013,"District of Columbia, District of Columbia, 901, 3",District of Columbia,2018,observed,2.0,5.26
110010009021,"District of Columbia, District of Columbia, 902, 1",District of Columbia,2018,observed,1.0,7.69
110010009022,"District of Columbia, District of Columbia, 902, 2",District of Columbia,2018,observed,4.0,5.88
110010010011,"District of Columbia, District of Columbia, 1001, 1",District of Columbia,2018,observed,1.0,1.69
110010010012,"District of Columbia, District of Columbia, 1001, 2",District of Columbia,2018,observed,25.0,6.63
110010010021,"District of Columbia, District of Columbia, 1002, 1",District of Columbia,2018,observed,35.0,9.7
110010010022,"District of Columbia, District of Columbia, 1002, 2",District of Columbia,2018,observed,40.0,6.77
110010011001,"District of Columbia, District of Columbia, 1100, 1",District of Columbia,2018,observed,10.0,3.03
110010011002,"District of Columbia, District of Columbia, 1100, 2",District of Columbia,2018,observed,8.0,6.3
110010011003,"District of Columbia, District of Columbia, 1100, 3",District of Columbia,2018,observed,5.0,2.65
110010012001,"District of Columbia, District of Columbia, 1200, 1",District of Columbia,2018,observed,33.0,6.6
110010012002,"District of Columbia, District of Columbia, 1200, 2",District of Columbia,2018,observed,21.0,5.32
110010012003,"District of Columbia, District of Columbia, 1200, 3",District of Columbia,2018,observed,4.0,4.88
110010012004,"District of Columbia, District of Columbia, 1200, 4",District of Columbia,2018,observed,22.0,16.3
110010013011,"District of Columbia, District of Columbia, 1301, 1",District of Columbia,2018,observed,63.0,11.75
110010013013,"District of Columbia, District of Columbia, 1301, 3",District of Columbia,2018,observed,23.0,2.96
110010013021,"District of Columbia, District of Columbia, 1302, 1",District of Columbia,2018,observed,41.0,4.11
110010013022,"District of Columbia, District of Columbia, 1302, 2",District of Columbia,2018,observed,36.0,1.73
110010013023,"District of Columbia, District of Columbia, 1302, 3",District of Columbia,2018,observed,14.0,5.53
110010014011,"District of Columbia, District of Columbia, 1401, 1",District of Columbia,2018,observed,94.0,15.04
110010014021,"District of Columbia, District of Columbia, 1402, 1",District of Columbia,2018,observed,1.0,2.38
110010014023,"District of Columbia, District of Columbia, 1402, 3",District of Columbia,2018,observed,33.0,7.71
110010015001,"District of Columbia, District of Columbia, 1500, 1",District of Columbia,2018,observed,1.0,1.96
110010015004,"District of Columbia, District of Columbia, 1500, 4",District of Columbia,2018,observed,1.0,8.33
110010016001,"District of Columbia, District of Columbia, 1600, 1",District of Columbia,2018,observed,1.0,3.57
110010016002,"District of Columbia, District of Columbia, 1600, 2",District of Columbia,2018,observed,8.0,16.67
110010016004,"District of Columbia, District of Columbia, 1600, 4",District of Columbia,2018,observed,3.0,4.17
110010017021,"District of Columbia, District of Columbia, 1702, 1",District of Columbia,2018,observed,114.0,39.04
110010017022,"District of Columbia, District of Columbia, 1702, 2",District of Columbia,2018,observed,37.0,10.76
110010018031,"District of Columbia, District of Columbia, 1803, 1",District of Columbia,2018,observed,32.0,11.43
110010018032,"District of Columbia, District of Columbia, 1803, 2",District of Columbia,2018,observed,183.0,16.77
110010018041,"District of Columbia, District of Columbia, 1804, 1",District of Columbia,2018,observed,96.0,24.37
110010018042,"District of Columbia, District of Columbia, 1804, 2",District of Columbia,2018,observed,22.0,4.94
110010018043,"District of Columbia, District of Columbia, 1804, 3",District of Columbia,2018,observed,107.0,15.2
110010019011,"District of Columbia, District of Columbia, 1901, 1",District of Columbia,2018,observed,18.0,15.25
110010019012,"District of Columbia, District of Columbia, 1901, 2",District of Columbia,2018,observed,4.0,2.72
110010019013,"District of Columbia, District of Columbia, 1901, 3",District of Columbia,2018,observed,7.0,9.46
110010019014,"District of Columbia, District of Columbia, 1901, 4",District of Columbia,2018,observed,1.0,1.92
110010019021,"District of Columbia, District of Columbia, 1902, 1",District of Columbia,2018,observed,4.0,9.09
110010019022,"District of Columbia, District of Columbia, 1902, 2",District of Columbia,2018,observed,29.0,31.52
110010020011,"District of Columbia, District of Columbia, 2001, 1",District of Columbia,2018,observed,137.0,24.64
110010020012,"District of Columbia, District of Columbia, 2001, 2",District of Columbia,2018,observed,26.0,32.5
110010020021,"District of Columbia, District of Columbia, 2002, 1",District of Columbia,2018,observed,10.0,76.92
110010020022,"District of Columbia, District of Columbia, 2002, 2",District of Columbia,2018,observed,57.0,26.03
110010020023,"District of Columbia, District of Columbia, 2002, 3",District of Columbia,2018,observed,6.0,4.35
110010021011,"District of Columbia, District of Columbia, 2101, 1",District of Columbia,2018,observed,24.0,10.57
110010021012,"District of Columbia, District of Columbia, 2101, 2",District of Columbia,2018,observed,60.0,21.66
110010021013,"District of Columbia, District of Columbia, 2101, 3",District of Columbia,2018,observed,8.0,10.96
110010021014,"District of Columbia, District of Columbia, 2101, 4",District of Columbia,2018,observed,37.0,44.05
110010021015,"District of Columbia, District of Columbia, 2101, 5",District of Columbia,2018,observed,22.0,7.61
110010021021,"District of Columbia, District of Columbia, 2102, 1",District of Columbia,2018,observed,133.0,109.02
110010021022,"District of Columbia, District of Columbia, 2102, 2",District of Columbia,2018,observed,16.0,8.56
110010021023,"District of Columbia, District of Columbia, 2102, 3",District of Columbia,2018,observed,10.0,4.93
110010021024,"District of Columbia, District of Columbia, 2102, 4",District of Columbia,2018,observed,14.0,13.33
110010021025,"District of Columbia, District of Columbia, 2102, 5",District of Columbia,2018,observed,147.0,277.36
110010021026,"District of Columbia, District of Columbia, 2102, 6",District of Columbia,2018,observed,13.0,7.18
110010022011,"District of Columbia, District of Columbia, 2201, 1",District of Columbia,2018,observed,2.0,3.57
110010022013,"District of Columbia, District of Columbia, 2201, 3",District of Columbia,2018,observed,9.0,17.31
110010022021,"District of Columbia, District of Columbia, 2202, 1",District of Columbia,2018,observed,38.0,10.33
110010022022,"District of Columbia, District of Columbia, 2202, 2",District of Columbia,2018,observed,4.0,2.41
