id,name,parent_location,year,type,filings,filing_rate,threatened,threatened_rate,judgements,judgement_rate,Eviction_Score
110010001001,"District of Columbia, District of Columbia, 100, 1",District of Columbia,2018,observed,14.0,4.39,8.0,2.51,0.0,0.0,-1.5326141853177493
110010001002,"District of Columbia, District of Columbia, 100, 2",District of Columbia,2018,observed,17.0,4.67,8.0,2.2,0.0,0.0,-1.5151309202865133
110010001004,"District of Columbia, District of Columbia, 100, 4",District of Columbia,2018,observed,1.0,0.52,1.0,0.52,0.0,0.0,-1.6426139800813133
110010002022,"District of Columbia, District of Columbia, 202, 2",District of Columbia,2018,observed,1.0,1.43,1.0,1.43,0.0,0.0,-1.6562473641138908
110010002023,"District of Columbia, District of Columbia, 202, 3",District of Columbia,2018,observed,4.0,2.29,4.0,2.29,0.0,0.0,-1.6181094696973568
110010002024,"District of Columbia, District of Columbia, 202, 4",District of Columbia,2018,observed,4.0,2.65,3.0,1.99,1.0,0.66,-1.4777961871550194
110010003002,"District of Columbia, District of Columbia, 300, 2",District of Columbia,2018,observed,15.0,2.67,11.0,1.96,0.0,0.0,-1.4764567101887978
110010003004,"District of Columbia, District of Columbia, 300, 4",District of Columbia,2018,observed,1.0,0.56,1.0,0.56,1.0,0.56,-1.5070492880158262
110010004001,"District of Columbia, District of Columbia, 400, 1",District of Columbia,2018,observed,2.0,8.33,2.0,8.33,2.0,8.33,-0.3428877953715608
110010004002,"District of Columbia, District of Columbia, 400, 2",District of Columbia,2018,observed,2.0,0.92,2.0,0.92,1.0,0.46,-1.5110719091925087
110010005011,"District of Columbia, District of Columbia, 501, 1",District of Columbia,2018,observed,17.0,4.02,14.0,3.31,4.0,0.95,-1.1083769064606774
110010005012,"District of Columbia, District of Columbia, 501, 2",District of Columbia,2018,observed,21.0,1.96,15.0,1.4,2.0,0.19,-1.26075455640466
110010005021,"District of Columbia, District of Columbia, 502, 1",District of Columbia,2018,observed,6.0,1.62,5.0,1.35,0.0,0.0,-1.5832546220488033
110010005022,"District of Columbia, District of Columbia, 502, 2",District of Columbia,2018,observed,6.0,1.65,4.0,1.1,0.0,0.0,-1.592822200785439
110010006001,"District of Columbia, District of Columbia, 600, 1",District of Columbia,2018,observed,30.0,9.46,18.0,5.68,3.0,0.95,-1.0950663492900479
110010006002,"District of Columbia, District of Columbia, 600, 2",District of Columbia,2018,observed,6.0,3.31,5.0,2.76,0.0,0.0,-1.6063453452495184
110010006003,"District of Columbia, District of Columbia, 600, 3",District of Columbia,2018,observed,12.0,6.9,10.0,5.75,0.0,0.0,-1.5646567739474908
110010006004,"District of Columbia, District of Columbia, 600, 4",District of Columbia,2018,observed,4.0,11.11,3.0,8.33,1.0,2.78,-1.256173658086606
110010007011,"District of Columbia, District of Columbia, 701, 1",District of Columbia,2018,observed,51.0,9.75,35.0,6.69,5.0,0.96,-0.6946103578309636
110010007012,"District of Columbia, District of Columbia, 701, 2",District of Columbia,2018,observed,44.0,9.28,19.0,4.01,0.0,0.0,-1.2842575578588493
110010007014,"District of Columbia, District of Columbia, 701, 4",District of Columbia,2018,observed,21.0,8.11,15.0,5.79,3.0,1.16,-1.1386110716962292
110010007021,"District of Columbia, District of Columbia, 702, 1",District of Columbia,2018,observed,30.0,5.46,13.0,2.37,2.0,0.36,-1.2382185112089434
110010007022,"District of Columbia, District of Columbia, 702, 2",District of Columbia,2018,observed,17.0,2.08,15.0,1.84,1.0,0.12,-1.3472872001027867
110010007023,"District of Columbia, District of Columbia, 702, 3",District of Columbia,2018,observed,19.0,6.19,16.0,5.21,4.0,1.3,-1.0499955864705426
110010008011,"District of Columbia, District of Columbia, 801, 1",District of Columbia,2018,observed,60.0,37.27,42.0,26.09,1.0,0.62,-1.1594708441964987
110010008012,"District of Columbia, District of Columbia, 801, 2",District of Columbia,2018,observed,2.0,15.38,2.0,15.38,0.0,0.0,-1.8482352496729766
110010008014,"District of Columbia, District of Columbia, 801, 4",District of Columbia,2018,observed,5.0,6.25,2.0,2.5,0.0,0.0,-1.6646245093645227
110010008021,"District of Columbia, District of Columbia, 802, 1",District of Columbia,2018,observed,6.0,1.47,6.0,1.47,1.0,0.25,-1.4841191205179194
110010008022,"District of Columbia, District of Columbia, 802, 2",District of Columbia,2018,observed,1.0,0.61,1.0,0.61,0.0,0.0,-1.643962336743876
110010009012,"District of Columbia, District of Columbia, 901, 2",District of Columbia,2018,observed,1.0,0.44,1.0,0.44,0.0,0.0,-1.641415440825702
110010009013,"District of Columbia, District of Columbia, 901, 3",District of Columbia,2018,observed,2.0,5.26,2.0,5.26,1.0,2.63,-1.2367786246886703
110010009021,"District of Columbia, District of Columbia, 902, 1",District of Columbia,2018,observed,1.0,7.69,1.0,7.69,0.0,0.0,-1.7500330608654675
110010009022,"District of Columbia, District of Columbia, 902, 2",District of Columbia,2018,observed,4.0,5.88,2.0,2.94,0.0,0.0,-1.6711886139448642
110010010011,"District of Columbia, District of Columbia, 1001, 1",District of Columbia,2018,observed,1.0,1.69,1.0,1.69,0.0,0.0,-1.660142616694627
110010010012,"District of Columbia, District of Columbia, 1001, 2",District of Columbia,2018,observed,25.0,6.63,17.0,4.51,1.0,0.27,-1.3090570872056828
110010010021,"District of Columbia, District of Columbia, 1002, 1",District of Columbia,2018,observed,35.0,9.7,28.0,7.76,1.0,0.28,-1.1734994102998908
110010010022,"District of Columbia, District of Columbia, 1002, 2",District of Columbia,2018,observed,40.0,6.77,34.0,5.75,4.0,0.68,-0.8321978142524326
110010011001,"District of Columbia, District of Columbia, 1100, 1",District of Columbia,2018,observed,10.0,3.03,6.0,1.82,0.0,0.0,-1.5629078036473683
110010011002,"District of Columbia, District of Columbia, 1100, 2",District of Columbia,2018,observed,8.0,6.3,4.0,3.15,1.0,0.79,-1.4583450102117435
110010011003,"District of Columbia, District of Columbia, 1100, 3",District of Columbia,2018,observed,5.0,2.65,4.0,2.12,0.0,0.0,-1.613623966284135
110010012001,"District of Columbia, District of Columbia, 1200, 1",District of Columbia,2018,observed,33.0,6.6,25.0,5.0,3.0,0.6,-1.0278881002808082
110010012002,"District of Columbia, District of Columbia, 1200, 2",District of Columbia,2018,observed,21.0,5.32,16.0,4.05,0.0,0.0,-1.4210036481439197
110010012003,"District of Columbia, District of Columbia, 1200, 3",District of Columbia,2018,observed,4.0,4.88,2.0,2.44,1.0,1.22,-1.4208207254526686
110010012004,"District of Columbia, District of Columbia, 1200, 4",District of Columbia,2018,observed,22.0,16.3,8.0,5.93,2.0,1.48,-1.2695714126108233
110010013011,"District of Columbia, District of Columbia, 1301, 1",District of Columbia,2018,observed,63.0,11.75,29.0,5.41,1.0,0.19,-1.013416502617761
110010013013,"District of Columbia, District of Columbia, 1301, 3",District of Columbia,2018,observed,23.0,2.96,17.0,2.19,1.0,0.13,-1.2980311922635506
110010013021,"District of Columbia, District of Columbia, 1302, 1",District of Columbia,2018,observed,41.0,4.11,26.0,2.61,5.0,0.5,-0.8531845631713186
110010013022,"District of Columbia, District of Columbia, 1302, 2",District of Columbia,2018,observed,36.0,1.73,28.0,1.35,3.0,0.14,-0.985542691410794
110010013023,"District of Columbia, District of Columbia, 1302, 3",District of Columbia,2018,observed,14.0,5.53,12.0,4.74,4.0,1.58,-1.0715277627270092
110010014011,"District of Columbia, District of Columbia, 1401, 1",District of Columbia,2018,observed,94.0,15.04,57.0,9.12,9.0,1.44,0.011390401427586277
110010014021,"District of Columbia, District of Columbia, 1402, 1",District of Columbia,2018,observed,1.0,2.38,1.0,2.38,0.0,0.0,-1.6704800177742738
110010014023,"District of Columbia, District of Columbia, 1402, 3",District of Columbia,2018,observed,33.0,7.71,19.0,4.44,0.0,0.0,-1.3389228730274803
110010015001,"District of Columbia, District of Columbia, 1500, 1",District of Columbia,2018,observed,1.0,1.96,1.0,1.96,0.0,0.0,-1.664187686682315
110010015004,"District of Columbia, District of Columbia, 1500, 4",District of Columbia,2018,observed,1.0,8.33,1.0,8.33,0.0,0.0,-1.759621374910357
110010016001,"District of Columbia, District of Columbia, 1600, 1",District of Columbia,2018,observed,1.0,3.57,1.0,3.57,1.0,3.57,-1.0814829184052268
110010016002,"District of Columbia, District of Columbia, 1600, 2",District of Columbia,2018,observed,8.0,16.67,8.0,16.67,3.0,6.25,-0.6424331881911609
110010016004,"District of Columbia, District of Columbia, 1600, 4",District of Columbia,2018,observed,3.0,4.17,3.0,4.17,0.0,0.0,-1.6632825393423383
110010017021,"District of Columbia, District of Columbia, 1702, 1",District of Columbia,2018,observed,114.0,39.04,66.0,22.6,4.0,1.37,-0.3030514152230569
