B03002_003E,B01001_002E,B01001_003E,B19013_001E,B17001_002E,B25003_001E,B25070_001E,B25091_001E,B23025_003E,B23025_004E,B11009_001E,B16001_002E,B25064_001E,B25077_001E,B25058_001E,B25003_002E,B25003_003E,B25004_002E,B25004_003E,B25004_004E,B25004_005E,B25070_007E,B25070_008E,B25070_009E,B19057_002E,B25034_001E,B25034_010E,B25034_011E,B25035_001E,B07001_050E,B25106_001E,B25106_003E,B25106_006E,B25072_001E,B25011_002E,B25011_003E,B18101_009E,B25092_001E,B25095_001E,B25119_001E,B25119_002E,B25081_001E,B25081_002E,B25081_003E,B25014_001E,B25014_002E,B25014_003E,B08013_001E,B08014_001E,B25121_001E,state,county,tract,block group,B25121_002E,B07001_017E,B07001_033E,B25002_003E,B25004_001E,B01001_001E,B01002_001E,B02001_002E,B02001_003E,B02001_005E,B03002_012E,B11001_001E,B11001_002E,B11001_003E,B11001_005E,B11001_006E,B15003_017E,B15003_022E,B15003_025E,B23025_001E,B23025_002E,B23025_005E,B18101_001E,B18101_002E,B18101_003E,B25001_001E,B25002_002E,B25009_001E,B25009_002E,B25009_003E,B25074_001E,B25074_008E,B25074_009E,B25074_010E,B25105_001E,B25034_002E,B25034_003E,B25034_004E,B25034_005E,B25106_002E,B25106_004E,B08006_001E,B08006_002E,B08006_003E,B08006_008E,B08012_001E,B07001_001E,B25085_001E,B16001_001E,B16001_003E,B09002_001E,B19058_002E,B08006_007E,B08006_009E,B08006_010E,B08007_001E,B08008_001E,B08134_001E,B08141_001E,B08122_001E,B08126_001E,B08128_001E,B08130_001E,B08132_001E,B08136_001E,B08137_001E,B08201_001E,B08202_001E,B08203_001E,B01003_001E,B01002A_001E,B01002B_001E,B01002D_001E,B01002H_001E,B02008_001E,B05002_013E,B05002_014E,B05002_015E,B07003_001E,B07003_002E,B07003_003E,B07003_004E,B07003_005E,B07003_006E,B08011_001E,B08105A_001E,B08105B_001E,B08105D_001E,B08141_002E,B08141_003E,B08141_004E,B08141_005E,B08141_006E,B08141_007E,B08202_002E,B08202_003E,B08202_004E,B08202_005E,B08202_006E,B08303_001E,B08303_002E,B08303_003E,B08303_004E,B08303_005E,B08303_006E,B08303_007E,B08303_008E,B08303_009E,B08303_010E,B09010_001E,B11004_002E,B11013_001E,B14006_001E,B14006_002E,B14006_003E,B14006_004E,B15002_001E,B15002_003E,B15002_004E,B15002_005E,B15002_006E,B15002_007E,B15002_008E,B15002_009E,B16004_001E,B16004_002E,B16004_003E,B16004_004E,B16004_005E,B16004_006E,B16004_007E,B17010_002E,B17010_003E,B17010_004E,B17010_005E,B19001_001E,B19001_002E,B19001_003E,B19001_004E,B19001_005E,B19001_006E,B19001_007E,B19001_008E,B19001_009E,B19001_010E,B19001_011E,B19083_001E,B19301_001E,B23006_002E,B23006_003E,B23006_004E,B23022_001E,B23022_002E,B25032_001E,B25032_002E,B25032_003E,B25032_004E,B25032_005E,B25032_006E,B25032_007E,B25075_001E,B25075_002E,B25075_003E,B25075_004E,B25075_005E,B25075_006E,B25075_007E,B25075_008E,B25075_009E,B25110_001E,B25002_001E,B25010_001E,B25011_001E,B25012_001E,B25015_001E,B25031_001E,B25033_001E,B25034_006E,B25034_007E,B25034_008E,B25034_009E,B25036_001E,B25036_002E,B25037_001E,B25037_002E,B25038_001E,B25038_002E,B25039_001E,B25039_002E,B25040_001E,B25040_002E,B25041_001E,B25041_002E,B25042_001E,B25043_001E,B25044_001E,B25045_001E,B25046_001E,B25047_001E,B25048_001E,B25049_001E,B25050_001E,B25051_001E,B25052_001E,B25053_001E,B25054_001E,B25055_001E,B25056_001E,B25057_001E,B25059_001E,B25060_001E,B25061_001E,B25062_001E,B25063_001E,B25065_001E,B25066_001E,B25067_001E,B25068_001E,B25069_001E,B25071_001E,B25076_001E,B25078_001E,B25079_001E,B25080_001E,B25082_001E,B25083_001E,B25086_001E,B25087_001E,B25088_001E,GEOID
726,461,28,105833,,310,43,267,560,544,,,1724,334100,1724,267,43,0,0,0,0,0,0,0,9,310,10,15,1976,,,,,43,,,,16.1,,,,267,187,32,310,267,213,,,,24,025,301102,3,,,,0,0,925,37.5,727,141,18,2,310,257,184,51,22,208,69,0,748,560,16,,,,310,310,310,267,49,43,0,0,0,,11,0,37,52,,,,,,,,,0,,,173,9,,,,544,544,512,,,,,,,,,,,,925,37.9,28.5,56.9,38.0,766,,,,,,,,,,,,,,,,,,,,,,,,,512,17,0,88,31,98,29,32,63,10,,184,,,,,,628,0,0,0,0,0,31,0,875,155,154,1,1,0,0,0,0,0,0,310,9,0,0,8,4,0,0,6,0,42,,39419,,,,636,294,310,267,249,0,0,0,0,267,0,0,0,0,0,0,0,0,,310,2.94,,,310,,910,26,75,71,13,310,267,1976,1978,310,267,2003,2001,310,9,310,0,310,310,310,310,663,310,,310,310,310,,310,43,43,43,1587,1862,66400,0,-666666666,43,75700,75700,75700,43,43,22.8,197400,463100,146826000,,146826000,-666666666,-666666666,267,1662,240253011023
723,436,35,80625,,285,10,275,352,343,,,-666666666,238500,-666666666,275,10,0,0,0,0,0,10,0,14,285,0,0,1967,,,,,10,,,,21.5,,,,275,206,32,285,275,230,,,,24,025,301402,1,,,,0,0,796,37.0,723,73,0,0,285,218,160,28,30,99,106,0,591,352,9,,,,285,285,285,275,67,10,0,0,0,,0,0,0,0,,,,,,,,,0,,,174,14,,,,332,332,292,,,,,,,8210,,,,,796,36.3,72.3,-666666666.0,36.3,723,,,,,,,,,,,,,,,,,,,,,,,,,292,18,8,24,11,51,65,33,47,0,,160,,,,,,519,0,0,0,0,0,0,8,750,174,174,0,0,0,0,0,0,0,0,285,0,8,0,0,12,18,13,11,0,40,,28687,,,,404,210,285,275,209,66,0,0,0,275,9,0,0,0,0,0,0,0,,285,2.79,,,285,,796,47,54,164,20,285,275,1967,1967,285,275,2001,2001,285,185,285,0,285,285,285,285,,285,,285,285,285,,285,10,10,10,-666666666,-666666666,,0,-666666666,10,,,,10,10,-666666666.0,179700,274100,,59280000,59280000,-666666666,-666666666,275,1152,240253014021
689,603,35,121417,,481,47,434,695,679,,,2120,308300,1662,434,47,0,0,10,0,17,0,0,4,491,0,4,1965,,,,,47,,,,18.3,,,,434,330,74,481,434,367,,,,24,033,800505,1,,,,10,10,1170,45.0,798,212,94,156,481,302,257,17,28,133,243,18,999,710,16,,,,491,481,481,434,117,47,0,0,0,,0,0,0,0,,,,,,,,,10,,,201,11,,,,683,683,650,,,,,,,,,,,,1170,48.3,41.6,33.6,51.5,827,,,,,,,,,,,,,,,,,,,,,,,,,650,52,23,31,56,88,20,72,7,12,,257,,,,,,884,5,0,0,0,0,8,0,1099,141,102,11,11,0,0,7,0,0,0,481,6,0,7,0,7,0,30,12,0,5,,54891,,,,804,418,481,434,430,4,0,0,0,434,0,0,0,0,0,0,0,0,,491,2.43,,,481,,1170,0,12,433,42,481,434,1965,1965,481,434,2005,2002,481,440,491,0,481,481,481,481,1026,491,,481,481,491,,481,47,47,47,1413,2010,85500,0,-666666666,47,105400,105400,105400,47,47,23.6,264600,358300,126726400,,126726400,-666666666,,434,1873,240338005051
0,191,19,32872,,199,50,149,238,214,,,1204,66400,791,149,50,64,0,0,0,0,0,27,13,295,83,199,0,,,,,50,,,,25.1,,,,149,118,0,199,149,136,,,,24,510,200200,1,,,,96,96,425,59.2,0,425,0,0,199,129,53,0,76,98,16,0,406,238,24,,,,295,199,199,149,64,50,0,0,0,,0,0,0,0,,,,,,,,,0,,,0,60,,,,214,214,214,,,,,,,,,,,,425,-666666666.0,59.2,-666666666.0,-666666666.0,0,,,,,,,,,,,,,,,,,,,,,,,,,214,0,19,0,16,72,0,57,0,0,,53,,,,,,350,0,0,0,0,0,0,0,406,0,0,0,0,0,0,13,0,0,0,199,36,0,18,13,27,37,0,16,0,0,,19776,,,,302,134,199,149,10,139,0,0,0,149,0,0,0,7,0,13,0,19,,295,2.14,,,199,,425,0,0,0,13,199,149,0,1940,199,149,1992,1989,199,179,295,0,199,199,199,199,,295,,199,199,295,,199,44,44,50,770,946,37100,64,50900,50,50800,50800,50800,50,50,46.7,49100,76300,9025000,,9025000,-666666666,-666666666,149,750,245102002001
3,146,0,26154,,224,180,44,180,143,,,1214,-666666666,838,44,180,51,25,25,0,33,10,8,24,355,27,152,1949,,,,,180,,,,51.0,,,,44,13,0,224,44,44,,,,24,510,200200,2,,,,131,131,386,59.7,3,383,0,0,224,58,39,10,9,106,15,0,343,180,37,,,,355,224,224,44,21,180,0,8,0,,0,0,37,0,,,,,,,,,25,,,25,103,,,,140,140,140,,,,,,,,,,,,386,-666666666.0,60.1,-666666666.0,-666666666.0,3,,,,,,,,,,,,,,,,,,,,,,,,,140,63,0,14,13,0,3,0,9,0,,39,,,,,,343,6,0,0,10,14,54,10,375,32,22,0,0,0,0,19,0,0,0,224,18,43,10,35,67,16,0,4,0,15,,17243,,,,182,110,224,44,3,41,0,0,0,44,0,0,0,25,0,0,0,0,,355,1.72,,,224,,386,11,12,0,116,224,44,1954,0,224,44,2012,1989,224,86,355,11,224,224,224,224,44,355,,224,224,355,,224,180,180,180,561,943,137500,76,102200,180,204300,,204300,180,180,51.0,-666666666,-666666666,,,,-666666666,,44,660,245102002002
5,470,10,37692,,320,102,218,395,338,,,-666666666,84500,-666666666,218,102,0,0,0,0,0,0,52,0,376,127,114,1946,,,,,102,,,,27.5,,,,218,133,6,320,218,184,,,,24,510,200600,3,,,,56,56,1002,34.2,5,986,0,0,320,234,129,16,89,342,18,0,752,395,57,,,,376,320,320,218,80,102,0,0,14,,0,0,0,0,,,,,,,,,0,,,156,102,,,,338,338,338,,,,,,,,,,,,1002,-666666666.0,31.9,-666666666.0,-666666666.0,5,,,,,,,,,,,,,,,,,,,,,,,,,338,0,8,84,83,44,0,82,0,0,,129,,,,,,708,0,0,5,0,0,0,32,958,228,228,0,0,0,0,44,8,0,0,320,47,20,21,24,38,8,26,0,21,19,,16242,,,,624,287,320,218,20,198,0,0,0,218,0,0,0,0,0,0,0,25,,376,3.13,,,320,,1002,14,0,6,115,320,218,1948,1947,320,218,1996,1989,320,228,376,0,320,320,320,320,271,376,,320,320,376,,320,102,102,102,-666666666,1589,82600,0,-666666666,102,122400,122400,122400,102,102,41.5,60200,110500,20381000,20381000,20381000,-666666666,-666666666,218,753,245102006003
1,347,31,23917,,333,280,53,210,113,,,582,75000,510,53,280,21,23,0,0,7,14,16,45,392,101,122,1947,,,,,280,,,,25.8,,,,53,22,0,333,53,53,,,,24,510,200701,5,,,,59,59,658,54.8,1,657,0,0,333,128,40,16,72,151,0,8,552,210,97,,,,392,333,333,53,33,280,0,34,58,,0,0,0,46,,,,,,,,,0,,,117,117,,,,113,113,112,,,,,,,,,,,,658,-666666666.0,54.8,-666666666.0,-666666666.0,1,,,,,,,,,,,,,,,,,,,,,,,,,112,0,0,8,14,0,38,16,0,0,,40,,,,,,517,0,8,9,13,0,19,0,604,86,86,0,0,0,0,38,0,0,0,333,92,24,42,15,21,17,17,20,14,16,,15990,,,,343,195,333,53,0,53,0,0,0,53,0,0,0,0,0,0,0,0,,392,1.97,,,333,,655,62,0,27,34,333,53,1951,1946,333,53,1999,1989,333,178,392,9,333,333,333,333,175,392,,333,333,392,,333,192,192,280,250,757,116000,44,,280,147000,,147000,280,280,35.2,59500,-666666666,,82460600,,-666666666,-666666666,53,668,245102007015
41,493,50,31510,,387,153,234,514,433,,,817,88200,497,234,153,15,0,0,0,8,29,32,8,500,164,177,1944,,,,,153,,,,16.9,,,,234,89,18,387,234,216,,,,24,510,200701,2,,,,113,113,1080,33.7,67,1007,0,96,387,211,42,15,154,167,35,0,748,514,81,,,,500,387,387,234,97,153,0,0,0,,0,0,11,0,,,,,,,,,0,,,321,203,,,,433,433,422,,,,,,,,,,,,1080,42.4,33.3,-666666666.0,-666666666.0,67,,,,,,,,,,,,,,,,,,,,,,,,,422,0,19,46,50,72,77,67,0,37,,42,,,,,,672,0,11,0,0,45,0,0,1019,271,271,0,0,0,0,86,11,11,11,387,30,74,0,16,59,24,17,52,0,26,,17840,,,,636,306,387,234,0,234,0,0,0,234,0,0,0,0,0,0,0,0,,500,2.79,,,387,,1080,0,26,20,102,387,234,1947,1946,387,234,2004,2001,387,274,500,0,387,387,387,387,,500,,387,387,500,,387,146,146,153,-666666666,1032,85300,15,,153,126700,,126700,153,153,47.8,77500,110400,,21261000,21261000,-666666666,-666666666,234,668,245102007012
102,742,29,47781,,1131,1038,93,1020,934,,,1205,150300,1060,93,1038,0,0,75,0,176,102,81,43,1206,103,159,1962,,,,,1038,,,,16.3,,,,93,77,0,1131,93,93,,,,24,510,270803,2,,,,75,75,1841,49.1,118,1611,69,16,1131,336,141,0,195,290,321,16,1664,1031,86,,,,1206,1131,1131,93,16,1038,47,28,16,,0,0,16,102,,,,,,,,,75,,,118,173,,,,945,945,945,,,,,,,,,,,,1841,62.9,44.2,71.7,80.2,118,,,,,,,,,,,,,,,,,,,,,,,,,945,0,0,50,124,110,149,300,42,48,,141,,,,,,1473,0,13,0,0,20,34,0,1792,212,182,0,0,0,0,0,0,0,0,1131,91,79,10,112,20,77,28,120,64,123,,33332,,,,1188,483,1131,93,0,77,0,0,0,93,0,0,0,0,16,0,0,0,,1206,1.62,,,1131,,1828,107,199,226,294,1131,93,1962,-666666666,1131,93,2012,1999,1131,475,1206,22,1131,1131,1131,1131,1040,1206,,1131,1131,1206,,1131,1038,1038,1038,916,1201,1052800,0,-666666666,1038,1161400,1161400,,1038,1038,30.2,92400,162600,,,,-666666666,,93,1255,245102708032
39,658,19,67875,,431,30,401,640,602,,,-666666666,139000,-666666666,401,30,0,0,0,0,0,0,0,81,459,109,129,1949,,,,,30,,,,15.8,,,,401,248,26,431,401,299,,,,24,510,270901,2,,,,28,28,1329,44.0,39,1207,0,31,431,293,125,43,125,391,36,10,1117,640,38,,,,459,431,431,401,125,30,0,0,0,,0,0,18,0,,,,,,,,,0,,,120,95,,,,602,602,591,,,,,,,,,,,,1329,-666666666.0,47.2,-666666666.0,-666666666.0,39,,,,,,,,,,,,,,,,,,,,,,,,,591,12,0,51,40,147,47,150,14,0,,125,,,,,,944,0,0,0,0,0,0,0,1299,182,182,0,0,0,0,0,0,0,0,431,24,0,22,0,10,11,11,36,0,64,,25867,,,,909,431,431,401,8,383,0,0,0,401,12,0,0,0,0,0,0,0,,459,3.08,,,431,,1329,14,10,0,179,431,401,1948,1949,431,401,2002,2001,431,278,459,0,431,431,431,431,,459,,431,431,459,,431,30,30,30,-666666666,-666666666,,0,-666666666,30,,,,30,30,-666666666.0,115900,176500,,,56865600,-666666666,-666666666,401,795,245102709012
