,Predicted
0,0
1,1
2,0
3,1
4,0
5,1
6,1
7,1
8,1
9,0
10,1
11,1
12,1
13,1
14,1
15,0
16,1
17,1
18,1
19,1
20,1
21,1
22,1
23,0
24,1
25,0
26,1
27,0
28,1
29,1
30,1
31,0
32,0
33,1
34,0
35,0
36,1
37,1
38,1
39,0
40,0
41,0
42,1
43,1
44,0
45,0
46,1
47,1
48,0
49,1
50,0
51,1
52,1
53,1
54,1
55,0
56,1
57,1
58,1
59,1
60,1
61,1
62,1
63,1
64,1
65,1
66,1
67,1
68,0
69,1
70,1
71,1
72,1
73,1
74,1
75,1
76,1
77,1
78,0
79,1
80,0
81,1
82,1
83,0
84,1
85,1
86,0
87,0
88,1
89,1
90,0
91,1
92,1
93,1
94,1
95,1
96,0
97,0
98,1
99,1
100,1
101,0
102,1
103,0
104,1
105,1
106,0
107,1
108,1
109,1
110,0
111,1
112,1
113,1
114,1
115,1
116,1
117,1
118,1
119,1
120,1
121,1
122,1
123,1
124,1
125,1
126,1
127,1
128,1
129,1
130,1
131,1
132,1
133,1
134,1
135,0
136,0
137,0
138,1
139,1
140,1
141,1
142,0
143,0
144,1
145,1
146,1
147,0
148,1
149,1
150,1
151,1
152,1
153,0
154,1
155,1
156,1
157,1
158,0
159,1
160,0
161,1
162,0
163,0
164,1
165,0
166,1
167,1
168,1
169,0
170,0
171,0
172,0
173,1
174,1
175,0
176,0
177,1
178,1
179,1
180,1
181,0
182,0
183,0
184,1
185,1
186,1
187,0
188,1
189,0
190,1
191,1
192,1
193,1
194,0
195,1
196,0
197,0
198,0
199,1
200,1
201,1
202,0
203,1
204,1
205,1
206,1
207,0
208,1
209,0
210,1
211,1
212,1
213,1
214,0
215,1
216,0
217,1
218,1
219,1
220,1
221,1
222,0
223,1
224,1
225,1
226,1
227,1
228,0
229,0
230,0
231,1
232,0
233,1
234,0
235,1
236,0
237,0
238,1
239,1
240,1
241,1
242,1
243,1
244,0
245,1
246,1
247,0
248,1
249,1
250,0
251,1
252,1
253,1
254,1
255,1
256,0
257,1
258,1
259,1
260,1
261,0
262,1
263,1
264,1
265,1
266,1
267,1
268,1
269,1
270,1
271,1
272,1
273,1
274,1
275,1
276,1
277,1
278,1
279,1
280,1
281,0
282,1
283,1
284,0
285,0
286,0
287,0
288,0
289,0
290,0
291,0
292,1
293,1
294,1
295,0
296,0
297,0
298,1
299,1
300,1
301,1
302,1
303,1
304,0
305,1
306,1
307,0
308,0
309,1
310,1
311,1
312,0
313,1
314,0
315,1
316,1
317,1
318,0
319,1
320,1
321,1
322,0
323,1
324,1
325,0
326,1
327,0
328,0
329,0
330,0
331,1
332,0
333,1
334,1
335,1
336,0
337,1
338,1
339,0
340,0
341,1
342,1
343,1
344,1
345,0
346,0
347,0
348,0
349,1
350,1
351,1
352,1
353,0
354,0
355,0
356,1
357,1
358,1
359,1
360,1
361,1
362,1
363,1
364,1
365,1
366,1
367,1
368,1
369,1
370,1
371,0
372,1
373,1
374,1
375,1
376,1
377,1
378,1
379,1
380,1
381,1
382,1
383,1
384,0
385,1
386,1
387,1
388,1
389,1
390,1
391,1
392,1
393,1
394,0
395,1
396,1
397,1
398,0
399,1
400,1
401,1
402,1
403,1
404,1
405,1
406,1
407,1
408,1
409,1
410,1
411,1
412,1
413,1
414,0
415,1
416,1
417,1
418,1
419,0
420,1
421,0
422,1
423,1
424,1
425,0
426,1
427,1
428,1
429,1
430,1
431,0
432,1
433,1
434,1
435,1
436,1
437,1
438,1
439,1
440,1
441,0
442,1
443,0
444,1
445,1
446,1
447,1
448,0
449,1
450,1
451,1
452,1
453,1
454,1
455,0
456,1
457,1
458,1
459,0
460,0
461,1
462,1
463,0
464,0
465,1
466,1
467,1
468,0
469,1
470,1
471,1
472,1
473,1
474,0
475,1
476,1
477,1
478,1
479,1
480,1
481,1
482,1
483,0
484,0
485,1
486,1
487,1
488,1
489,0
490,1
491,0
492,1
493,0
494,1
495,1
496,1
497,1
498,1
499,1
500,0
501,0
502,0
503,1
504,0
505,1
506,1
507,0
508,1
509,0
510,0
511,1
512,1
513,0
514,1
515,1
516,1
517,1
518,1
519,1
520,1
521,1
522,1
523,1
524,1
525,0
526,0
527,0
528,1
529,0
530,1
531,1
532,0
533,0
534,1
535,1
536,1
537,1
538,1
539,1
540,0
541,1
542,0
543,0
544,0
545,1
546,1
547,0
548,1
549,1
550,0
551,0
552,0
553,1
554,1
555,1
556,0
557,1
558,1
559,0
560,1
561,1
562,1
563,1
564,1
565,1
566,0
567,1
568,1
569,1
570,1
571,1
572,1
573,1
574,1
575,0
576,1
577,1
578,1
579,1
580,0
581,1
582,1
583,1
584,0
585,0
586,1
587,1
588,1
589,1
590,1
591,1
592,1
593,1
594,0
595,1
596,0
597,1
598,1
599,1
600,0
601,1
602,0
603,0
604,1
605,1
606,1
607,1
608,0
609,1
610,1
611,0
612,0
613,1
614,0
615,1
616,1
617,1
618,1
619,1
620,1
621,1
622,1
623,1
624,0
625,1
626,1
627,1
628,0
629,1
630,1
631,1
632,1
633,0
634,0
635,0
636,0
637,1
638,0
639,1
640,0
641,1
642,1
643,1
644,0
645,0
646,1
647,1
648,0
649,0
650,0
651,1
652,0
653,1
654,1
655,1
656,0
657,1
658,0
659,0
660,1
661,1
662,0
663,1
664,1
665,1
666,1
667,1
668,1
669,1
670,1
671,1
672,0
673,1
674,1
675,1
676,1
677,1
678,0
679,0
680,0
681,0
682,0
683,1
684,1
685,1
686,1
687,1
688,1
689,1
690,1
691,1
692,0
693,1
694,0
695,1
696,1
697,1
698,0
699,0
700,1
701,1
702,1
703,1
704,1
705,1
706,1
707,1
708,1
709,1
710,1
711,1
712,1
713,1
714,0
715,1
716,1
717,1
718,1
719,0
720,1
721,0
722,1
723,0
724,0
725,1
726,1
727,1
728,1
729,1
730,0
731,1
732,0
733,0
734,0
735,0
736,1
737,1
738,1
739,1
740,1
741,1
742,1
743,1
744,0
745,0
746,1
747,0
748,0
749,0
750,1
751,1
752,1
753,0
754,0
755,0
756,1
757,1
758,1
759,0
760,0
761,1
762,0
763,1
764,1
765,0
766,0
767,0
768,1
769,0
770,1
771,0
772,0
773,0
774,1
775,0
776,1
777,1
778,1
779,0
780,0
781,0
782,0
783,0
784,0
785,1
786,0
787,0
788,0
789,0
790,0
791,0
792,0
793,0
794,1
795,1
796,0
797,1
798,1
799,0
800,1
801,1
802,0
803,0
804,0
805,0
806,0
807,0
808,1
809,0
810,0
811,0
812,0
813,1
814,0
815,0
816,1
817,1
818,0
819,1
820,0
821,0
822,0
823,0
824,0
825,1
826,0
827,1
828,1
829,1
830,0
831,0
832,1
833,1
834,0
835,1
836,0
837,0
838,0
839,0
840,1
841,0
842,1
843,0
844,0
845,1
846,0
847,0
848,0
849,0
850,1
851,1
852,0
853,0
854,0
855,1
856,0
857,0
858,0
859,0
860,0
861,0
862,0
863,1
864,0
865,1
866,1
867,1
868,0
869,0
870,0
871,0
872,0
873,0
874,0
875,0
876,0
877,1
878,0
879,0
880,0
881,0
882,0
883,1
884,0
885,0
886,0
887,0
888,1
889,1
890,1
891,0
892,0
893,0
894,1
895,1
896,1
897,0
898,0
899,0
900,1
901,0
902,0
903,0
904,1
905,0
906,0
907,0
908,0
909,0
910,1
911,0
912,0
913,1
914,0
915,0
916,0
917,0
918,1
919,1
920,1
921,0
922,0
923,1
924,0
925,0
926,1
927,0
928,0
929,0
930,0
931,0
932,0
933,0
934,0
935,0
936,1
937,1
938,0
939,1
940,1
941,0
942,0
943,0
944,0
945,1
946,1
947,0
948,1
949,0
950,0
951,1
952,0
953,1
954,0
955,1
956,1
957,1
958,0
959,1
960,1
961,0
962,0
963,0
964,0
965,0
966,0
967,0
968,0
969,1
970,0
971,0
972,0
973,0
974,0
975,0
976,0
977,0
978,1
979,0
980,1
981,1
982,0
983,0
984,1
985,0
986,0
987,0
988,0
989,0
990,1
991,0
992,0
993,0
994,0
995,0
996,0
997,0
998,1
999,1
1000,0
1001,1
1002,1
1003,0
1004,1
1005,0
1006,0
1007,0
1008,0
1009,0
1010,0
1011,0
1012,0
1013,0
1014,1
1015,0
1016,0
1017,0
1018,1
1019,0
1020,0
1021,0
1022,0
1023,0
1024,1
1025,1
1026,0
1027,0
1028,1
1029,0
1030,0
1031,0
1032,0
1033,0
1034,0
1035,1
1036,0
1037,0
1038,0
1039,0
1040,0
1041,1
1042,1
1043,1
1044,0
1045,0
1046,1
1047,0
1048,0
1049,0
1050,0
1051,0
1052,1
1053,0
1054,0
1055,1
1056,1
1057,1
1058,0
1059,0
1060,1
