B03002_003E,B01001_002E,B01001_003E,B19013_001E,B25003_001E,B25070_001E,B25091_001E,B23025_003E,B23025_004E,B25064_001E,B25077_001E,B25058_001E,B25003_002E,B25003_003E,B25004_002E,B25004_003E,B25004_004E,B25004_005E,B25070_007E,B25070_008E,B25070_009E,B19057_002E,B25034_001E,B25034_010E,B25034_011E,B25035_001E,B25072_001E,B25092_001E,B25081_001E,B25081_002E,B25081_003E,B25014_001E,B25014_002E,B25014_003E,state,county,tract,block group,B25002_003E,B25004_001E,B01001_001E,B01002_001E,B02001_002E,B02001_003E,B02001_005E,B03002_012E,B11001_001E,B11001_002E,B11001_003E,B11001_005E,B11001_006E,B15003_017E,B15003_022E,B15003_025E,B23025_001E,B23025_002E,B23025_005E,B25001_001E,B25002_002E,B25009_001E,B25009_002E,B25009_003E,B25074_001E,B25074_008E,B25074_009E,B25074_010E,B25034_002E,B25034_003E,B25034_004E,B25034_005E,B25085_001E,B09002_001E,B19058_002E,B08007_001E,B08008_001E,B08134_001E,B01003_001E,B01002A_001E,B01002B_001E,B01002D_001E,B01002H_001E,B02008_001E,B08303_001E,B08303_002E,B08303_003E,B08303_004E,B08303_005E,B08303_006E,B08303_007E,B08303_008E,B08303_009E,B08303_010E,B11004_002E,B15002_001E,B15002_003E,B15002_004E,B15002_005E,B15002_006E,B15002_007E,B15002_008E,B15002_009E,B16004_001E,B16004_002E,B16004_003E,B16004_004E,B16004_005E,B16004_006E,B16004_007E,B17010_002E,B17010_003E,B17010_004E,B17010_005E,B19001_001E,B19001_002E,B19001_003E,B19001_004E,B19001_005E,B19001_006E,B19001_007E,B19001_008E,B19001_009E,B19001_010E,B19001_011E,B19301_001E,B23022_001E,B23022_002E,B25032_001E,B25032_002E,B25032_003E,B25032_004E,B25032_005E,B25032_006E,B25032_007E,B25075_001E,B25075_002E,B25075_003E,B25075_004E,B25075_005E,B25075_006E,B25075_007E,B25075_008E,B25075_009E,B25002_001E,B25010_001E,B25015_001E,B25033_001E,B25034_006E,B25034_007E,B25034_008E,B25034_009E,B25036_001E,B25036_002E,B25037_001E,B25037_002E,B25038_001E,B25038_002E,B25039_001E,B25039_002E,B25040_001E,B25040_002E,B25041_001E,B25041_002E,B25042_001E,B25043_001E,B25044_001E,B25045_001E,B25046_001E,B25047_001E,B25049_001E,B25050_001E,B25051_001E,B25053_001E,B25054_001E,B25055_001E,B25056_001E,B25057_001E,B25059_001E,B25060_001E,B25061_001E,B25063_001E,B25065_001E,B25067_001E,B25068_001E,B25069_001E,B25071_001E,B25076_001E,B25078_001E,B25082_001E,B25087_001E,B25088_001E,filing_rate,filings
489.0,374.0,30.0,136964.0,379.0,129.0,250.0,638.0,624.0,1536.0,639800.0,1536.0,250.0,129.0,0.0,0.0,10.0,0.0,32.0,0.0,0.0,6.0,389.0,19.0,272.0,0.0,129.0,17.3,250.0,219.0,58.0,379.0,250.0,226.0,11.0,1.0,6802.0,1.0,10.0,10.0,857.0,32.8,526.0,269.0,14.0,49.0,379.0,193.0,138.0,33.0,22.0,44.0,183.0,52.0,768.0,657.0,14.0,389.0,379.0,379.0,250.0,69.0,129.0,0.0,7.0,0.0,0.0,0.0,16.0,0.0,10.0,82.0,21.0,639.0,639.0,611.0,857.0,31.3,49.2,39.19399137389862,31.9,562.0,611.0,0.0,12.0,28.0,83.0,82.0,35.0,152.0,3.0,46.0,138.0,655.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,792.0,32.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,379.0,7.0,0.0,0.0,0.0,18.0,5.0,5.0,0.0,17.0,33.0,72374.0,695.0,317.0,379.0,250.0,28.0,183.0,0.0,0.0,0.0,250.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,389.0,2.26,379.0,857.0,5.0,9.0,10.0,58.0,379.0,250.0,0.0,0.0,379.0,250.0,2011.0,2010.0,379.0,251.0,389.0,0.0,379.0,379.0,379.0,379.0,385.0,389.0,379.0,379.0,389.0,379.0,129.0,129.0,129.0,1016.0,2336.0,224800.0,0.0,129.0,239100.0,239100.0,129.0,129.0,24.2,516700.0,781300.0,155019600.0,250.0,2682.0,3.03,4.0
90.0,319.0,0.0,95394.0,303.0,123.0,180.0,326.0,326.0,1164.0,465600.0,925.0,180.0,123.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,8.0,338.0,59.0,217.0,0.0,123.0,17.7,180.0,151.0,63.0,303.0,180.0,180.0,11.0,1.0,2202.0,3.0,35.0,35.0,623.0,53.8,90.0,520.0,0.0,0.0,303.0,142.0,112.0,0.0,30.0,111.0,55.0,27.0,614.0,326.0,0.0,338.0,303.0,303.0,180.0,39.0,123.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,326.0,326.0,326.0,623.0,60.3,53.0,40.27727741554347,60.3,103.0,326.0,0.0,0.0,44.0,64.0,14.0,46.0,0.0,0.0,60.0,112.0,544.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,623.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,303.0,35.0,0.0,0.0,0.0,0.0,0.0,25.0,13.0,16.0,17.0,51135.0,465.0,294.0,303.0,180.0,0.0,180.0,0.0,0.0,0.0,180.0,0.0,0.0,0.0,0.0,0.0,8.0,13.0,0.0,338.0,2.03,303.0,615.0,0.0,0.0,13.0,49.0,303.0,180.0,0.0,0.0,303.0,180.0,2007.0,1995.0,303.0,243.0,338.0,0.0,303.0,303.0,303.0,303.0,349.0,338.0,303.0,303.0,338.0,303.0,123.0,123.0,123.0,531.0,1195.0,108000.0,0.0,123.0,146500.0,146500.0,123.0,123.0,34.2,382800.0,607100.0,80275000.0,180.0,1957.0,6.06,6.0
1388.0,874.0,42.0,250001.0,694.0,53.0,641.0,1061.0,1061.0,2740.0,1021700.0,2740.0,641.0,53.0,0.0,0.0,37.0,0.0,15.0,0.0,0.0,11.0,765.0,24.0,627.0,0.0,53.0,13.6,641.0,431.0,42.0,694.0,641.0,613.0,11.0,1.0,600.0,4.0,71.0,71.0,1900.0,48.1,1534.0,234.0,132.0,210.0,694.0,412.0,351.0,15.0,46.0,62.0,341.0,182.0,1593.0,1076.0,0.0,765.0,694.0,694.0,641.0,233.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,307.0,11.0,1062.0,1062.0,988.0,1900.0,47.4,59.8,45.9,48.2,1534.0,988.0,0.0,10.0,64.0,112.0,162.0,126.0,168.0,23.0,138.0,351.0,1517.0,10.0,10.0,0.0,20.0,0.0,10.0,20.0,1829.0,236.0,195.0,41.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,694.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136446.0,1162.0,508.0,694.0,641.0,246.0,221.0,0.0,0.0,0.0,641.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,765.0,2.45,694.0,1700.0,28.0,0.0,0.0,86.0,694.0,641.0,0.0,0.0,694.0,641.0,2003.0,2002.0,694.0,547.0,765.0,31.0,694.0,694.0,694.0,694.0,800.6339313842988,765.0,694.0,694.0,765.0,694.0,53.0,53.0,53.0,1942.0,3027.0,127300.0,0.0,53.0,139700.0,139700.0,53.0,53.0,20.9,334200.0,1232600.0,765930000.0,641.0,2025.0,11.11,4.0
920.0,726.0,72.0,79135.0,918.0,733.0,185.0,1052.0,1009.0,1769.0,532400.0,1750.0,185.0,733.0,40.0,0.0,0.0,0.0,92.0,77.0,29.0,0.0,958.0,123.0,577.0,0.0,733.0,19.7,185.0,133.0,0.0,918.0,185.0,136.0,11.0,1.0,4201.0,1.0,40.0,40.0,1429.0,33.5,1129.0,131.0,66.0,240.0,918.0,151.0,119.0,0.0,32.0,14.0,373.0,61.0,1295.0,1052.0,43.0,958.0,918.0,918.0,185.0,100.0,733.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134.0,70.0,1009.0,1009.0,957.0,1429.0,32.3,80.0,29.8,32.8,1129.0,957.0,0.0,0.0,66.0,63.0,148.0,154.0,345.0,31.0,35.0,119.0,1147.0,0.0,0.0,0.0,0.0,14.0,0.0,13.0,1295.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,918.0,0.0,53.0,13.0,48.0,0.0,14.0,41.0,13.0,0.0,87.0,65603.0,1163.0,548.0,918.0,185.0,0.0,69.0,0.0,0.0,27.0,185.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,958.0,1.56,918.0,1429.0,41.0,93.0,76.0,48.0,918.0,185.0,0.0,0.0,918.0,185.0,2012.0,2005.0,918.0,353.0,958.0,348.0,918.0,918.0,918.0,918.0,335.0,958.0,918.0,918.0,958.0,918.0,733.0,733.0,733.0,1503.0,1997.0,1247700.0,40.0,733.0,1285500.0,1285500.0,733.0,733.0,28.3,370100.0,997300.0,126205000.0,185.0,2067.0,7.73,51.0
1579.0,777.0,62.0,135882.0,828.0,360.0,468.0,1047.0,1026.0,1565.0,1050300.0,1565.0,468.0,360.0,0.0,0.0,0.0,16.0,74.0,26.0,15.0,0.0,844.0,41.0,387.0,1949.0,360.0,14.5,468.0,274.0,152.0,828.0,468.0,434.0,11.0,1.0,1100.0,1.0,16.0,16.0,1805.0,51.2,1750.0,15.0,40.0,171.0,828.0,416.0,405.0,0.0,11.0,60.0,616.0,183.0,1547.0,1047.0,21.0,844.0,828.0,828.0,468.0,123.0,360.0,0.0,0.0,0.0,0.0,0.0,35.0,17.0,16.0,279.0,0.0,1026.0,1026.0,901.0,1805.0,50.8,49.096101162864066,43.06359580525798,55.0,1750.0,901.0,15.0,18.0,60.0,20.0,77.0,160.0,187.0,129.0,23.0,405.0,1504.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1666.0,140.0,140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,828.0,21.0,0.0,13.0,27.0,0.0,0.0,0.0,41.0,0.0,19.0,118294.0,996.0,459.0,828.0,468.0,261.0,123.0,0.0,0.0,0.0,468.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,844.0,2.18,828.0,1805.0,69.0,56.0,95.0,144.0,828.0,468.0,1950.0,0.0,828.0,468.0,2004.0,1994.0,828.0,530.0,844.0,13.0,828.0,828.0,828.0,828.0,899.0,844.0,828.0,828.0,844.0,828.0,360.0,360.0,360.0,1362.0,1833.0,575000.0,0.0,360.0,581700.0,581700.0,360.0,360.0,24.9,804100.0,1246600.0,454543700.0,468.0,1908.0,3.03,10.0
63.0,816.0,47.0,73313.0,501.0,266.0,235.0,866.0,834.0,852.0,376300.0,758.0,235.0,266.0,23.0,0.0,18.0,0.0,21.0,24.0,0.0,54.0,542.0,30.0,48.0,2004.0,266.0,23.1,235.0,226.0,8.0,501.0,235.0,135.0,11.0,1.0,7404.0,2.0,41.0,41.0,1847.0,28.6,63.0,1775.0,9.0,0.0,501.0,304.0,101.0,34.0,169.0,304.0,92.0,0.0,1244.0,866.0,32.0,542.0,501.0,501.0,235.0,50.0,266.0,0.0,0.0,49.0,30.0,122.0,196.0,19.0,18.0,242.0,165.0,799.0,799.0,790.0,1847.0,39.2,28.4,35.41064926593552,39.2,63.0,790.0,0.0,59.0,19.0,112.0,134.0,0.0,272.0,0.0,0.0,101.0,1000.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,1613.0,378.0,378.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,501.0,49.0,7.0,19.0,11.0,0.0,11.0,0.0,82.0,16.0,25.0,29176.0,1092.0,430.0,501.0,235.0,33.0,183.0,0.0,0.0,8.0,235.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,542.0,3.69,501.0,1847.0,0.0,25.0,0.0,72.0,501.0,235.0,2004.0,2011.0,501.0,235.0,2010.0,2011.0,501.0,350.0,542.0,0.0,501.0,501.0,501.0,501.0,522.0,542.0,501.0,501.0,542.0,501.0,214.0,214.0,266.0,559.0,1318.0,185100.0,23.0,266.0,224700.0,224700.0,266.0,266.0,29.5,327300.0,465684.53014808666,106824477.58754855,235.0,1944.0,14.46,35.0
999.0,630.0,0.0,142692.0,762.0,404.0,358.0,958.0,941.0,1610.0,823700.0,1500.0,358.0,404.0,19.0,0.0,0.0,0.0,21.0,27.0,10.0,47.0,851.0,98.0,435.0,0.0,404.0,18.7,358.0,338.0,69.0,762.0,358.0,268.0,11.0,1.0,6900.0,1.0,89.0,89.0,1466.0,39.0,1024.0,349.0,9.0,88.0,762.0,306.0,238.0,28.0,40.0,114.0,421.0,75.0,1256.0,958.0,17.0,851.0,762.0,762.0,358.0,123.0,404.0,0.0,7.0,26.0,0.0,0.0,115.0,10.0,0.0,191.0,88.0,933.0,933.0,832.0,1466.0,36.4,63.1,40.462981563513154,36.3,1108.0,832.0,0.0,25.0,32.0,142.0,149.0,99.0,224.0,24.0,22.0,238.0,1230.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,1398.0,149.0,149.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,762.0,38.0,71.0,23.0,0.0,27.0,0.0,17.0,0.0,0.0,33.0,82727.0,1082.0,497.0,762.0,358.0,0.0,304.0,16.0,9.0,3.0,358.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,851.0,1.92,762.0,1466.0,45.0,50.0,16.0,82.0,762.0,358.0,0.0,0.0,762.0,358.0,2010.0,2007.0,762.0,443.0,851.0,32.0,762.0,762.0,762.0,762.0,687.0,851.0,762.0,762.0,851.0,762.0,378.0,378.0,404.0,712.0,2393.0,588600.0,19.0,404.0,623100.0,623100.0,404.0,404.0,25.3,638800.0,984700.0,363215000.0,358.0,2850.0,2.87,12.0
15.0,412.0,62.0,99844.0,189.0,51.0,138.0,427.0,401.0,1272.0,316700.0,1105.0,138.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,235.0,78.0,5.0,1957.0,51.0,13.0,138.0,90.0,44.0,189.0,138.0,81.0,11.0,1.0,7803.0,3.0,46.0,46.0,831.0,23.8,15.0,613.0,0.0,203.0,189.0,144.0,85.0,11.0,48.0,178.0,119.0,0.0,548.0,427.0,26.0,235.0,189.0,189.0,138.0,38.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,167.0,66.0,401.0,401.0,401.0,831.0,27.350871848753144,30.5,38.08039672293964,28.6545867202002,15.0,401.0,0.0,8.0,25.0,25.0,92.0,6.0,111.0,0.0,22.0,85.0,405.0,0.0,0.0,0.0,0.0,7.0,12.0,22.0,650.0,102.0,55.0,47.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,189.0,0.0,0.0,0.0,5.0,9.0,10.0,0.0,0.0,22.0,0.0,26192.0,476.0,255.0,189.0,138.0,88.0,50.0,0.0,0.0,0.0,138.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,235.0,4.4,189.0,831.0,9.0,0.0,94.0,49.0,189.0,138.0,1957.0,1955.0,189.0,138.0,2005.0,2001.0,189.0,146.0,235.0,0.0,189.0,189.0,189.0,189.0,322.0,235.0,189.0,189.0,235.0,189.0,51.0,51.0,51.0,1033.0,1178.0,54100.0,0.0,51.0,64000.0,64000.0,51.0,51.0,17.6,250800.0,445300.0,46624000.0,138.0,1412.0,24.49,12.0
660.0,448.0,19.0,90296.0,703.0,557.0,146.0,759.0,753.0,1660.0,284800.0,1632.0,146.0,557.0,0.0,15.0,0.0,0.0,129.0,17.0,27.0,0.0,718.0,24.0,233.0,1954.0,557.0,15.3,146.0,98.0,0.0,703.0,146.0,123.0,11.0,1.0,701.0,2.0,15.0,15.0,1080.0,36.1,712.0,181.0,30.0,135.0,703.0,169.0,135.0,0.0,34.0,50.0,360.0,54.0,977.0,759.0,6.0,718.0,703.0,703.0,146.0,105.0,557.0,0.0,19.0,17.0,0.0,0.0,0.0,0.0,0.0,103.0,17.0,753.0,753.0,753.0,1080.0,35.6,36.9,31.1,40.3,771.0,753.0,0.0,0.0,67.0,194.0,84.0,43.0,132.0,31.0,43.0,135.0,873.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1061.0,84.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,703.0,36.0,0.0,0.0,0.0,32.0,33.0,17.0,13.0,0.0,61.0,64387.0,775.0,276.0,703.0,146.0,0.0,0.0,0.0,0.0,0.0,146.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,718.0,1.54,703.0,1080.0,22.0,6.0,153.0,280.0,703.0,146.0,1954.0,0.0,703.0,146.0,2011.0,2014.0,703.0,251.0,718.0,181.0,703.0,703.0,703.0,703.0,547.0,718.0,703.0,703.0,718.0,703.0,557.0,557.0,557.0,1377.0,1994.0,945400.0,15.0,557.0,969600.0,969600.0,557.0,557.0,27.0,252200.0,359100.0,47680000.0,146.0,2067.0,9.28,44.0
694.0,419.0,5.0,81522.0,538.0,181.0,357.0,613.0,586.0,1931.0,348700.0,1931.0,357.0,181.0,0.0,0.0,0.0,0.0,15.0,61.0,0.0,0.0,538.0,110.0,171.0,1949.0,181.0,15.0,357.0,252.0,34.0,538.0,357.0,181.0,11.0,1.0,3900.0,2.0,0.0,0.0,814.0,47.2,713.0,66.0,35.0,19.0,538.0,135.0,118.0,17.0,0.0,22.0,194.0,93.0,778.0,613.0,27.0,538.0,538.0,538.0,357.0,234.0,181.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,586.0,586.0,586.0,814.0,47.1,48.4,39.9,45.8,713.0,586.0,0.0,0.0,50.0,112.0,80.0,45.0,159.0,15.0,16.0,118.0,778.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,783.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,538.0,0.0,0.0,10.0,13.0,0.0,0.0,0.0,42.0,44.0,0.0,70916.0,667.0,362.0,538.0,357.0,0.0,22.0,0.0,0.0,17.0,357.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,538.0,1.51,538.0,814.0,15.0,73.0,16.0,153.0,538.0,357.0,1949.0,1946.0,538.0,357.0,2008.0,2004.0,538.0,104.0,538.0,134.0,538.0,538.0,538.0,538.0,316.0,538.0,538.0,538.0,538.0,538.0,166.0,166.0,181.0,1375.0,2318.0,320300.0,0.0,181.0,322100.0,322100.0,181.0,181.0,35.5,190200.0,472200.0,149054000.0,357.0,1115.0,10.14,15.0
