B03002_003E,B01001_002E,B01001_003E,B19013_001E,B23025_003E,B23025_004E,B25064_001E,B25077_001E,B25058_001E,B25003_002E,B25003_003E,B25004_002E,B25004_003E,B25004_004E,B25004_005E,B25070_007E,B25070_008E,B25070_009E,B19057_002E,B25034_001E,B25034_010E,B25034_011E,B25035_001E,B25092_001E,B25081_002E,B25081_003E,B25014_002E,B25014_003E,county,tract,block group,B25002_003E,B01001_001E,B01002_001E,B02001_002E,B02001_003E,B02001_005E,B03002_012E,B11001_001E,B11001_002E,B11001_003E,B11001_005E,B11001_006E,B15003_017E,B15003_022E,B15003_025E,B23025_001E,B23025_002E,B23025_005E,B25001_001E,B25002_002E,B25009_002E,B25009_003E,B25074_008E,B25074_009E,B25034_002E,B25034_003E,B25034_004E,B25034_005E,B09002_001E,B19058_002E,B08007_001E,B08008_001E,B08134_001E,B01003_001E,B01002A_001E,B01002B_001E,B01002D_001E,B01002H_001E,B02008_001E,B08303_001E,B08303_002E,B08303_003E,B08303_004E,B08303_005E,B08303_006E,B08303_007E,B08303_008E,B08303_009E,B08303_010E,B15002_001E,B15002_003E,B15002_004E,B15002_005E,B15002_006E,B15002_007E,B15002_008E,B15002_009E,B16004_001E,B16004_002E,B16004_003E,B16004_004E,B16004_005E,B16004_006E,B16004_007E,B17010_002E,B17010_003E,B17010_004E,B17010_005E,B19001_001E,B19001_002E,B19001_003E,B19001_004E,B19001_005E,B19001_006E,B19001_007E,B19001_008E,B19001_009E,B19001_010E,B19001_011E,B19301_001E,B23022_001E,B23022_002E,B25032_003E,B25032_004E,B25032_005E,B25032_006E,B25032_007E,B25075_002E,B25075_003E,B25075_004E,B25075_005E,B25075_006E,B25075_007E,B25075_008E,B25075_009E,B25033_001E,B25034_006E,B25034_007E,B25034_008E,B25034_009E,B25037_002E,B25040_002E,B25041_002E,B25046_001E,B25057_001E,B25059_001E,B25060_001E,B25065_001E,B25071_001E,B25076_001E,B25078_001E,B25082_001E,state_11.0,state_24.0,state_51.0,filing_rate,filings
489,374,30,136964,638,624,1536,639800,1536,250,129,0,0,10,0,32,0,0,6,389,19,272,0,17,219,58,250,226,1,6802,1,10,857,32,526,269,14,49,379,193,138,33,22,44,183,52,768,657,14,389,379,250,69,0,7,0,0,16,0,82,21,639,639,611,857,31,49,39,31,562,611,0,12,28,83,82,35,152,3,46,655,0,0,0,0,0,0,0,792,32,32,0,0,0,0,0,0,0,0,379,7,0,0,0,18,5,5,0,17,33,72374,695,317,28,183,0,0,0,6,0,0,0,0,0,0,0,857,5,9,10,58,0,251,0,385,1016,2336,224800,239100,24,516700,781300,155019600,1,0,0,3.03,4.0
90,319,0,95394,326,326,1164,465600,925,180,123,0,0,0,0,9,0,0,8,338,59,217,0,17,151,63,180,180,1,2202,3,35,623,53,90,520,0,0,303,142,112,0,30,111,55,27,614,326,0,338,303,180,39,0,35,0,0,0,0,0,59,326,326,326,623,60,53,40,60,103,326,0,0,44,64,14,46,0,0,60,544,0,0,0,0,0,9,0,623,9,9,0,0,0,0,0,0,0,0,303,35,0,0,0,0,0,25,13,16,17,51135,465,294,0,180,0,0,0,0,0,0,0,0,8,13,0,615,0,0,13,49,0,243,0,349,531,1195,108000,146500,34,382800,607100,80275000,1,0,0,6.06,6.0
1388,874,42,250001,1061,1061,2740,1021700,2740,641,53,0,0,37,0,15,0,0,11,765,24,627,0,13,431,42,641,613,1,600,4,71,1900,48,1534,234,132,210,694,412,351,15,46,62,341,182,1593,1076,0,765,694,641,233,0,0,0,0,0,0,307,11,1062,1062,988,1900,47,59,45,48,1534,988,0,10,64,112,162,126,168,23,138,1517,10,10,0,20,0,10,20,1829,236,195,41,41,0,0,0,0,0,0,694,0,29,0,0,0,0,0,0,0,0,136446,1162,508,246,221,0,0,0,0,0,0,0,0,0,0,0,1700,28,0,0,86,0,547,31,804,1942,3027,127300,139700,20,334200,1232600,765930000,1,0,0,11.11,4.0
920,726,72,79135,1052,1009,1769,532400,1750,185,733,40,0,0,0,92,77,29,0,958,123,577,0,19,133,0,185,136,1,4201,1,40,1429,33,1129,131,66,240,918,151,119,0,32,14,373,61,1295,1052,43,958,918,185,100,0,0,0,0,0,0,134,70,1009,1009,957,1429,32,80,29,32,1129,957,0,0,66,63,148,154,345,31,35,1147,0,0,0,0,14,0,13,1295,0,0,0,0,0,0,0,0,0,0,918,0,53,13,48,0,14,41,13,0,87,65603,1163,548,0,69,0,0,27,0,0,0,0,0,0,0,0,1429,41,93,76,48,0,353,348,335,1503,1997,1247700,1285500,28,370100,997300,126205000,1,0,0,7.73,51.0
1579,777,62,135882,1047,1026,1565,1050300,1565,468,360,0,0,0,16,74,26,15,0,844,41,387,1949,14,274,152,468,434,1,1100,1,16,1805,51,1750,15,40,171,828,416,405,0,11,60,616,183,1547,1047,21,844,828,468,123,0,0,0,0,35,17,279,0,1026,1026,901,1805,50,50,41,55,1750,901,15,18,60,20,77,160,187,129,23,1504,0,0,0,0,0,0,0,1666,140,140,0,0,0,0,0,0,0,0,828,21,0,13,27,0,0,0,41,0,19,118294,996,459,261,123,0,0,0,19,0,0,0,0,0,0,0,1805,69,56,95,144,0,530,13,899,1362,1833,575000,581700,24,804100,1246600,454543700,1,0,0,3.03,10.0
63,816,47,73313,866,834,852,376300,758,235,266,23,0,18,0,21,24,0,54,542,30,48,2004,23,226,8,235,135,1,7404,2,41,1847,28,63,1775,9,0,501,304,101,34,169,304,92,0,1244,866,32,542,501,235,50,0,0,30,122,196,19,242,165,799,799,790,1847,39,28,35,39,63,790,0,59,19,112,134,0,272,0,0,1000,22,0,0,0,0,0,0,1613,378,378,0,0,0,0,38,0,0,0,501,49,7,19,11,0,11,0,82,16,25,29176,1092,430,33,183,0,0,8,0,0,0,0,0,0,0,0,1847,0,25,0,72,2011,350,0,522,559,1318,185100,224700,29,327300,457236,95866715,1,0,0,14.46,35.0
999,630,0,142692,958,941,1610,823700,1500,358,404,19,0,0,0,21,27,10,47,851,98,435,0,18,338,69,358,268,1,6900,1,89,1466,39,1024,349,9,88,762,306,238,28,40,114,421,75,1256,958,17,851,762,358,123,0,7,0,0,115,10,191,88,933,933,832,1466,36,63,40,36,1108,832,0,25,32,142,149,99,224,24,22,1230,0,0,0,0,10,0,0,1398,149,149,0,0,0,0,0,0,0,0,762,38,71,23,0,27,0,17,0,0,33,82727,1082,497,0,304,16,9,3,0,0,0,0,0,0,0,0,1466,45,50,16,82,0,443,32,687,712,2393,588600,623100,25,638800,984700,363215000,1,0,0,2.87,12.0
15,412,62,99844,427,401,1272,316700,1105,138,51,0,0,0,0,0,0,0,0,235,78,5,1957,13,90,44,138,81,1,7803,3,46,831,23,15,613,0,203,189,144,85,11,48,178,119,0,548,427,26,235,189,138,38,0,0,0,0,0,0,167,66,401,401,401,831,27,30,37,28,15,401,0,8,25,25,92,6,111,0,22,405,0,0,0,0,7,12,22,650,102,55,47,47,0,0,0,0,0,0,189,0,0,0,5,9,10,0,0,22,0,26192,476,255,88,50,0,0,0,0,0,0,0,0,0,0,0,831,9,0,94,49,1955,146,0,322,1033,1178,54100,64000,17,250800,445300,46624000,1,0,0,24.49,12.0
660,448,19,90296,759,753,1660,284800,1632,146,557,0,15,0,0,129,17,27,0,718,24,233,1954,15,98,0,146,123,1,701,2,15,1080,36,712,181,30,135,703,169,135,0,34,50,360,54,977,759,6,718,703,146,105,0,19,0,0,0,0,103,17,753,753,753,1080,35,36,31,40,771,753,0,0,67,194,84,43,132,31,43,873,0,0,0,0,0,0,0,1061,84,68,0,0,0,0,0,0,0,0,703,36,0,0,0,32,33,17,13,0,61,64387,775,276,0,0,0,0,0,0,0,0,0,0,0,0,0,1080,22,6,153,280,0,251,181,547,1377,1994,945400,969600,27,252200,359100,47680000,1,0,0,9.28,44.0
694,419,5,81522,613,586,1931,348700,1931,357,181,0,0,0,0,15,61,0,0,538,110,171,1949,15,252,34,357,181,1,3900,2,0,814,47,713,66,35,19,538,135,118,17,0,22,194,93,778,613,27,538,538,357,234,0,0,0,0,0,0,36,0,586,586,586,814,47,48,39,45,713,586,0,0,50,112,80,45,159,15,16,778,0,0,0,0,0,0,0,783,5,5,0,0,0,0,0,0,0,0,538,0,0,10,13,0,0,0,42,44,0,70916,667,362,0,22,0,0,17,0,0,0,0,0,0,0,0,814,15,73,16,153,1946,104,134,316,1375,2318,320300,322100,35,190200,472200,149054000,1,0,0,10.14,15.0
